Italian,English
bello,Handsome
persone,people
buon,Good
terra,Earth
ia,ia
dato,given
secondo,second
film,movie
nell',in the'
mano,hand
facciamo,we do
vediamo,We see
vedo,I see
stanno,they are
avrei,I would have
prendere,take
dici,you say
serve,serve
morte,death
meno,less
città,city
occhi,eyes
fine,end
Sig.,Mr
ê,And
tesoro,treasure
scusi,Excuse me
primo,first
credi,believe
salve,Greetings
nave,ship
stiamo,we are
sera,evening
piano,floor
sento,I feel
macchina,machine
vostro,your
mani,hands
neanche,not even
dall',from
dottore,doctor
quale,Which
abbastanza,Enough
tardi,late
bel,nice
cuore,Heart
famiglia,family
far,do
stati,States
aiuto,help
diavolo,devil
nostri,our
col,with the
quasi,Almost
polizia,police
capo,boss
avrebbe,it would have
quei,those
mie,my
tornare,return
però,However
contro,against
viene,he comes
mentre,While
scusa,Excuse me
sola,lonely
spero,I hope
quelle,those
trovare,find
giro,tour
anch',too
guerra,war
sue,his
bambino,child
strada,street
vecchio,old
fratello,Brother
acqua,waterfall
stasera,this evening
pensavo,I thought
chiama,who loves
persona,person
vedi,you see
fu,was
anno,year
vostra,your
veramente,Truly
finito,finished
marito,Husband
minuti,minutes
giù,below
donne,women
bravo,good boy
bambini,children
ricordi,memories
quelli,those
state,state
ore,hours
stavo,I was
dovuto,due
nemmeno,neither
venuto,coming
indietro,backwards
stessa,same
importa,it matters
nessun,no
punto,point
invece,Instead
perso,lost
possibile,possible
ucciso,killed
forte,strong
pensato,thought
dovrebbe,should
pensa,thinks
poco,little
parla,speaks
farò,lighthouse
cercando,looking for
verità,truth
andato,left
quell',that'
re,king
fanno,they do
potrei,I could
importante,important
quest',this
amo,I love
chiesto,asked
cosi,Like this
nelle,in
felice,happy
piedi,feet
merda,shit
piccolo,small
prendi,you take
dietro,behind
sapevo,I knew
buongiorno,Good morning
passato,past
dollari,dollars
com',as
pure,mashed potato
pensare,think
cinque,five
vicino,Neighbor
uscire,go out
conosco,I know
verso,towards
altre,other
quattro,four
morire,die
sangue,blood
John,John
eri,you was
almeno,at least
dica,say
lascia,leaves
vivere,live
colpa,guilt
portato,carried
entrare,enter
ricordo,I remember
pace,peace
roba,stuff
Jack,Jack
migliore,improve
fate,you do
difficile,difficult
settimana,week
ultima,last
dovrei,I should
fatta,made
conto,I count
stanza,room
fra,between
comunque,Anyway
sentire,feel
numero,number
parlato,spoke
mente,mind
messo,put in order
strano,strange
fortuna,fortune
perdere,Lose
tue,your
né,neither
figlia,Daughter
molti,many
volete,you want
dottor,Doctor
